,Experience,Qualifications,Salary Range,Country,Work Type,Company Size,Preference,Job Title,Role,Job Description,skills,Responsibilities
165,3 to 13 Years,BA,$55K-$113K,Russia,Contract,124583,Male,Electrical Engineer,Power Systems Engineer,"Power Systems Engineers design and maintain electrical power systems. They work on generation, transmission, and distribution of electrical power, focusing on safety and efficiency.",Electrical engineering Power system analysis Renewable energy systems Control systems Safety regulations,"Design and analyze electrical power systems, including transmission and distribution networks. Perform load flow analysis and ensure grid reliability. Implement energy efficiency solutions."
166,1 to 8 Years,MCA,$65K-$112K,Syrian Arab Republic,Intern,81150,Female,Electrical Engineer,Electronics Hardware Engineer,"Electronics Hardware Engineers develop and design electronic components and systems, from circuit boards to hardware prototypes, ensuring functionality and performance.",Electronics design PCB layout Embedded systems Circuit analysis Troubleshooting,Develop electronic hardware components and circuits for various applications. Conduct testing and validation of electronic systems. Collaborate with cross-functional teams on product development.
167,1 to 15 Years,PhD,$62K-$120K,Lithuania,Temporary,17970,Male,Electrical Engineer,Power Systems Engineer,"Power Systems Engineers design and maintain electrical power systems. They work on generation, transmission, and distribution of electrical power, focusing on safety and efficiency.",Electrical engineering Power system analysis Renewable energy systems Control systems Safety regulations,"Design and analyze electrical power systems, including transmission and distribution networks. Perform load flow analysis and ensure grid reliability. Implement energy efficiency solutions."
168,3 to 12 Years,B.Tech,$61K-$107K,Kuwait,Contract,81508,Male,Electrical Engineer,Controls Engineer,"Controls Engineers specialize in industrial automation, designing and implementing control systems for machinery and manufacturing processes. They optimize efficiency and safety.",Control system design PLC programming Automation Instrumentation System integration,Design and implement control systems for industrial automation and robotics. Program PLCs (Programmable Logic Controllers) and HMI (Human-Machine Interface) systems. Troubleshoot control system issues.
169,5 to 15 Years,MCA,$55K-$89K,Libya,Full-Time,125514,Male,Electrical Engineer,Power Systems Engineer,"Power Systems Engineers design and maintain electrical power systems. They work on generation, transmission, and distribution of electrical power, focusing on safety and efficiency.",Electrical engineering Power system analysis Renewable energy systems Control systems Safety regulations,"Design and analyze electrical power systems, including transmission and distribution networks. Perform load flow analysis and ensure grid reliability. Implement energy efficiency solutions."
170,5 to 8 Years,BCA,$65K-$109K,Russia,Temporary,64634,Both,Email Marketing Specialist,Marketing Automation Specialist,"Implement and manage marketing automation tools, workflows, and campaigns to streamline marketing efforts.","Marketing automation platforms (e.g., Marketo, Pardot) Lead nurturing Workflow automation CRM integration Analytics and reporting Email marketing Campaign optimization Marketing strategy Communication skills Problem-solving Attention to detail",Set up and manage marketing automation platforms. Create workflows and lead nurturing programs. Monitor and report on marketing automation performance.
171,0 to 11 Years,MBA,$60K-$112K,Egypt,Part-Time,14279,Male,Email Marketing Specialist,Marketing Automation Specialist,"Implement and manage marketing automation tools, workflows, and campaigns to streamline marketing efforts.","Marketing automation platforms (e.g., Marketo, Pardot) Lead nurturing Workflow automation CRM integration Analytics and reporting Email marketing Campaign optimization Marketing strategy Communication skills Problem-solving Attention to detail",Set up and manage marketing automation platforms. Create workflows and lead nurturing programs. Monitor and report on marketing automation performance.
172,0 to 12 Years,MCA,$63K-$90K,Seychelles,Part-Time,60015,Male,Email Marketing Specialist,Marketing Automation Specialist,"Implement and manage marketing automation tools, workflows, and campaigns to streamline marketing efforts.","Marketing automation platforms (e.g., Marketo, Pardot) Lead nurturing Workflow automation CRM integration Analytics and reporting Email marketing Campaign optimization Marketing strategy Communication skills Problem-solving Attention to detail",Set up and manage marketing automation platforms. Create workflows and lead nurturing programs. Monitor and report on marketing automation performance.
173,1 to 12 Years,BCA,$61K-$96K,Lebanon,Temporary,51631,Female,Email Marketing Specialist,Marketing Automation Specialist,"Implement and manage marketing automation tools, workflows, and campaigns to streamline marketing efforts.","Marketing automation platforms (e.g., Marketo, Pardot) Lead nurturing Workflow automation CRM integration Analytics and reporting Email marketing Campaign optimization Marketing strategy Communication skills Problem-solving Attention to detail",Set up and manage marketing automation platforms. Create workflows and lead nurturing programs. Monitor and report on marketing automation performance.
174,4 to 14 Years,B.Tech,$60K-$109K,New Zealand,Full-Time,39757,Male,Email Marketing Specialist,Email Campaign Manager,"Plan, execute, and analyze email marketing campaigns to engage subscribers, increase conversions, and build brand awareness.","Email marketing strategies Email marketing platforms (e.g., MailChimp, HubSpot) Audience segmentation A/B testing Campaign analytics Copywriting HTML/CSS for email Marketing automation Communication skills Data analysis Attention to detail","Plan and execute email marketing campaigns, including segmenting lists and scheduling sends. Create compelling email content and visuals. Analyze email performance and optimize campaigns."
175,5 to 11 Years,BA,$56K-$121K,Mozambique,Contract,74313,Both,Environmental Consultant,Environmental Compliance Officer,"Environmental Compliance Officers ensure that organizations adhere to environmental regulations and standards. They conduct audits, develop compliance programs, and oversee efforts to minimize environmental impact and maintain regulatory compliance.",Environmental compliance Regulatory requirements Environmental impact assessments Reporting Environmental regulations Auditing,Ensure compliance with environmental laws and regulations. Conduct environmental assessments and audits. Develop and implement compliance strategies.
176,5 to 10 Years,PhD,$56K-$130K,Sierra Leone,Temporary,108124,Male,Environmental Consultant,Sustainability Consultant,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies.",Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication,"Focus on sustainable practices and initiatives, advising clients on reducing their environmental footprint. Develop sustainability plans and strategies. Conduct sustainability audits and reporting."
177,5 to 14 Years,BCA,$65K-$122K,Kiribati,Contract,53738,Both,Environmental Consultant,Sustainability Consultant,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies.",Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication,"Focus on sustainable practices and initiatives, advising clients on reducing their environmental footprint. Develop sustainability plans and strategies. Conduct sustainability audits and reporting."
178,1 to 15 Years,B.Tech,$63K-$121K,Botswana,Intern,84618,Female,Environmental Consultant,Environmental Compliance Officer,"Environmental Compliance Officers ensure that organizations adhere to environmental regulations and standards. They conduct audits, develop compliance programs, and oversee efforts to minimize environmental impact and maintain regulatory compliance.",Environmental compliance Regulatory requirements Environmental impact assessments Reporting Environmental regulations Auditing,Ensure compliance with environmental laws and regulations. Conduct environmental assessments and audits. Develop and implement compliance strategies.
179,5 to 9 Years,M.Com,$63K-$84K,Mexico,Full-Time,64280,Both,Environmental Consultant,Sustainability Consultant,"Sustainability Consultants advise organizations on sustainable practices and strategies. They assess environmental impact, recommend sustainability initiatives, and assist in the development and implementation of sustainable policies.",Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication,"Focus on sustainable practices and initiatives, advising clients on reducing their environmental footprint. Develop sustainability plans and strategies. Conduct sustainability audits and reporting."
180,0 to 10 Years,PhD,$58K-$119K,Mozambique,Intern,43921,Female,Environmental Engineer,Environmental Consultant,"An Environmental Consultant assesses environmental impacts, provides regulatory compliance guidance, and develops strategies for sustainable practices and environmental protection.",Environmental assessments Regulatory compliance Environmental impact analysis,"Provide expertise on environmental regulations, assessments, and compliance. Conduct environmental impact assessments. Develop and implement environmental management plans."
181,3 to 10 Years,M.Tech,$57K-$110K,Somalia,Part-Time,84396,Male,Environmental Engineer,Environmental Consultant,"An Environmental Consultant assesses environmental impacts, provides regulatory compliance guidance, and develops strategies for sustainable practices and environmental protection.",Environmental assessments Regulatory compliance Environmental impact analysis,"Provide expertise on environmental regulations, assessments, and compliance. Conduct environmental impact assessments. Develop and implement environmental management plans."
182,2 to 15 Years,PhD,$55K-$84K,Eswatini,Full-Time,14862,Both,Environmental Engineer,Sustainability Specialist,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.",Sustainability practices Environmental management systems Green certifications,Promote sustainability practices within organizations. Develop sustainability plans and initiatives. Monitor and report on sustainability metrics and goals.
183,3 to 10 Years,PhD,$64K-$114K,Australia,Intern,41653,Both,Environmental Engineer,Sustainability Specialist,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.",Sustainability practices Environmental management systems Green certifications,Promote sustainability practices within organizations. Develop sustainability plans and initiatives. Monitor and report on sustainability metrics and goals.
184,5 to 15 Years,PhD,$55K-$112K,Nicaragua,Part-Time,119222,Both,Environmental Engineer,Sustainability Specialist,"A Sustainability Specialist promotes sustainability initiatives within organizations, develops sustainability programs, and helps reduce environmental impacts while increasing efficiency.",Sustainability practices Environmental management systems Green certifications,Promote sustainability practices within organizations. Develop sustainability plans and initiatives. Monitor and report on sustainability metrics and goals.
185,4 to 13 Years,BCA,$56K-$107K,Republic Of Congo,Intern,42763,Both,Event Coordinator,Event Planner,"Plan and coordinate events, including selecting venues, managing budgets, arranging logistics, and ensuring a successful outcome.",Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail,"Plan and organize events, such as weddings, conferences, and parties. Coordinate logistics, vendors, and budgets. Ensure events run smoothly and meet client expectations."
186,3 to 11 Years,B.Tech,$65K-$92K,French Polynesia,Part-Time,100723,Male,Event Coordinator,Event Planner,"Plan and coordinate events, including selecting venues, managing budgets, arranging logistics, and ensuring a successful outcome.",Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail,"Plan and organize events, such as weddings, conferences, and parties. Coordinate logistics, vendors, and budgets. Ensure events run smoothly and meet client expectations."
187,4 to 11 Years,MBA,$65K-$80K,Estonia,Contract,57847,Male,Event Coordinator,Corporate Event Coordinator,"Coordinate corporate events, conferences, and meetings, handle logistics, and ensure a seamless experience for attendees.",Corporate event planning Corporate branding and messaging Speaker and entertainment booking Audiovisual production Team coordination Crisis management Budgeting and financial management Client communication Creativity Problem-solving Attention to detail,"Specialize in planning and managing corporate events, including meetings, seminars, and trade shows. Handle event marketing and branding. Oversee event registration and attendee experience."
188,1 to 11 Years,M.Tech,$64K-$86K,Israel,Intern,70708,Male,Event Coordinator,Event Planner,"Plan and coordinate events, including selecting venues, managing budgets, arranging logistics, and ensuring a successful outcome.",Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail,"Plan and organize events, such as weddings, conferences, and parties. Coordinate logistics, vendors, and budgets. Ensure events run smoothly and meet client expectations."
189,4 to 15 Years,BCA,$63K-$122K,Myanmar,Part-Time,100348,Female,Event Coordinator,Corporate Event Coordinator,"Coordinate corporate events, conferences, and meetings, handle logistics, and ensure a seamless experience for attendees.",Corporate event planning Corporate branding and messaging Speaker and entertainment booking Audiovisual production Team coordination Crisis management Budgeting and financial management Client communication Creativity Problem-solving Attention to detail,"Specialize in planning and managing corporate events, including meetings, seminars, and trade shows. Handle event marketing and branding. Oversee event registration and attendee experience."
190,1 to 8 Years,PhD,$61K-$97K,Denmark,Temporary,113264,Male,Event Manager,Conference Manager,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.",Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations,"Specialize in conference and convention planning. Coordinate speaker sessions, exhibitors, and attendee experiences. Oversee event registration and marketing."
191,5 to 13 Years,MBA,$55K-$125K,"Korea, Rep.",Part-Time,89111,Both,Event Manager,Conference Manager,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.",Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations,"Specialize in conference and convention planning. Coordinate speaker sessions, exhibitors, and attendee experiences. Oversee event registration and marketing."
192,5 to 8 Years,MCA,$59K-$116K,Greenland,Part-Time,116293,Both,Event Manager,Conference Manager,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.",Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations,"Specialize in conference and convention planning. Coordinate speaker sessions, exhibitors, and attendee experiences. Oversee event registration and marketing."
193,1 to 14 Years,MBA,$55K-$116K,Faroe Islands,Contract,52634,Both,Event Manager,Conference Manager,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.",Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations,"Specialize in conference and convention planning. Coordinate speaker sessions, exhibitors, and attendee experiences. Oversee event registration and marketing."
194,2 to 15 Years,M.Tech,$61K-$110K,Yemen,Full-Time,63596,Both,Event Manager,Conference Manager,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.",Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations,"Specialize in conference and convention planning. Coordinate speaker sessions, exhibitors, and attendee experiences. Oversee event registration and marketing."
195,1 to 15 Years,M.Tech,$59K-$125K,Mali,Temporary,49215,Male,Event Planner,Wedding Planner,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.",Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette,"Specialize in wedding planning, assisting couples in creating their dream weddings. Select and manage vendors, plan ceremonies, and handle wedding day coordination. Provide creative and budget-conscious solutions."
196,1 to 8 Years,M.Com,$59K-$86K,El Salvador,Temporary,104057,Both,Event Planner,Corporate Event Planner,"Corporate Event Planners organize business-related events such as seminars, conferences, and product launches, ensuring they meet corporate goals and standards.",Corporate event planning Corporate branding Corporate communication Audiovisual equipment Crisis management,"Organize corporate events, conferences, and seminars. Develop event marketing strategies and manage event budgets. Coordinate speakers, sponsors, and attendee registration."
197,1 to 11 Years,B.Tech,$58K-$119K,Mongolia,Full-Time,71455,Female,Event Planner,Wedding Planner,"Wedding Planners specialize in organizing weddings, assisting couples with every aspect of wedding planning, from venue selection to catering and decor.",Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette,"Specialize in wedding planning, assisting couples in creating their dream weddings. Select and manage vendors, plan ceremonies, and handle wedding day coordination. Provide creative and budget-conscious solutions."
198,1 to 12 Years,MBA,$56K-$111K,Poland,Contract,33758,Both,Event Planner,Event Coordinator,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.",Event planning Vendor coordination Budget management Marketing and promotion Logistics,"Plan and coordinate events, including logistics, vendor management, and timelines. Communicate with clients to understand event goals and preferences. Ensure smooth event execution."
199,0 to 9 Years,PhD,$60K-$110K,Nigeria,Intern,41874,Both,Event Planner,Event Coordinator,"Event Coordinators plan and execute various events, including conferences, parties, and meetings, managing logistics, budgets, and vendor relationships.",Event planning Vendor coordination Budget management Marketing and promotion Logistics,"Plan and coordinate events, including logistics, vendor management, and timelines. Communicate with clients to understand event goals and preferences. Ensure smooth event execution."
200,1 to 13 Years,B.Tech,$57K-$125K,Guinea-Bissau,Contract,48541,Both,Executive Assistant,Personal Assistant,"A Personal Assistant provides administrative support to individuals or executives. Their duties include managing schedules, arranging meetings, handling correspondence, and performing various tasks to enhance efficiency.",Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality,"Provide high-level administrative support to executives, including calendar management and travel arrangements. Prepare reports, presentations, and correspondence. Act as a gatekeeper and handle confidential information."
201,1 to 9 Years,BCA,$56K-$105K,Sao Tome and Principe,Intern,128899,Female,Executive Assistant,Office Manager,"Office Managers oversee daily office operations, including supervising staff, managing facilities, and ensuring efficient workflow. They may also handle budgeting, resource allocation, and office policies.",Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations,"Oversee office operations, including facilities management and vendor relations. Manage office budgets and expenses. Coordinate office events and logistics."
202,3 to 14 Years,MBA,$62K-$111K,Belize,Full-Time,28368,Both,Executive Assistant,Office Manager,"Office Managers oversee daily office operations, including supervising staff, managing facilities, and ensuring efficient workflow. They may also handle budgeting, resource allocation, and office policies.",Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations,"Oversee office operations, including facilities management and vendor relations. Manage office budgets and expenses. Coordinate office events and logistics."
203,3 to 9 Years,M.Tech,$56K-$97K,Libya,Part-Time,90896,Both,Executive Assistant,Office Manager,"Office Managers oversee daily office operations, including supervising staff, managing facilities, and ensuring efficient workflow. They may also handle budgeting, resource allocation, and office policies.",Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations,"Oversee office operations, including facilities management and vendor relations. Manage office budgets and expenses. Coordinate office events and logistics."
204,2 to 13 Years,B.Tech,$56K-$129K,Cuba,Contract,76326,Male,Executive Assistant,Office Manager,"Office Managers oversee daily office operations, including supervising staff, managing facilities, and ensuring efficient workflow. They may also handle budgeting, resource allocation, and office policies.",Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations,"Oversee office operations, including facilities management and vendor relations. Manage office budgets and expenses. Coordinate office events and logistics."
205,2 to 13 Years,B.Tech,$62K-$128K,Rwanda,Intern,86435,Female,Family Lawyer,Mediator,Mediators facilitate negotiations and dispute resolution between parties in conflict. They remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.,Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques,Facilitate mediation and alternative dispute resolution (ADR) processes to help clients reach mutually agreeable resolutions. Maintain neutrality and guide parties toward compromise. Draft mediation agreements.
206,5 to 12 Years,PhD,$65K-$116K,Luxembourg,Part-Time,117123,Both,Family Lawyer,Child Custody Lawyer,"Child Custody Lawyers specialize in family law, focusing on cases related to child custody and visitation rights. They represent clients in court, provide legal counsel, and advocate for the best interests of children in custody disputes.",Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation,"Specialize in child custody cases, advocating for the best interests of children. Conduct investigations, gather evidence, and present cases in court. Negotiate parenting plans and visitation schedules."
207,0 to 13 Years,M.Com,$56K-$89K,Cambodia,Full-Time,69830,Both,Family Lawyer,Mediator,Mediators facilitate negotiations and dispute resolution between parties in conflict. They remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.,Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques,Facilitate mediation and alternative dispute resolution (ADR) processes to help clients reach mutually agreeable resolutions. Maintain neutrality and guide parties toward compromise. Draft mediation agreements.
208,5 to 10 Years,MBA,$56K-$104K,Vietnam,Temporary,25415,Both,Family Lawyer,Mediator,Mediators facilitate negotiations and dispute resolution between parties in conflict. They remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.,Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques,Facilitate mediation and alternative dispute resolution (ADR) processes to help clients reach mutually agreeable resolutions. Maintain neutrality and guide parties toward compromise. Draft mediation agreements.
209,2 to 14 Years,BBA,$63K-$130K,Singapore,Part-Time,53872,Female,Family Lawyer,Mediator,Mediators facilitate negotiations and dispute resolution between parties in conflict. They remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.,Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques,Facilitate mediation and alternative dispute resolution (ADR) processes to help clients reach mutually agreeable resolutions. Maintain neutrality and guide parties toward compromise. Draft mediation agreements.
210,3 to 15 Years,M.Tech,$59K-$109K,Ethiopia,Contract,62415,Female,Family Nurse Practitioner,Geriatric Nurse Practitioner,Geriatric Nurse Practitioners focus on the healthcare needs of elderly patients. They provide specialized care and address age-related health concerns.,Geriatric healthcare Geriatric assessment Geriatric treatment Elderly patient care Geriatric pharmacology,"Focus on elderly patient care, addressing age-related health concerns. Manage chronic conditions and medication regimens. Collaborate with healthcare teams in nursing homes or geriatric clinics."
211,2 to 13 Years,MCA,$65K-$102K,Gibraltar,Full-Time,112713,Both,Family Nurse Practitioner,Geriatric Nurse Practitioner,Geriatric Nurse Practitioners focus on the healthcare needs of elderly patients. They provide specialized care and address age-related health concerns.,Geriatric healthcare Geriatric assessment Geriatric treatment Elderly patient care Geriatric pharmacology,"Focus on elderly patient care, addressing age-related health concerns. Manage chronic conditions and medication regimens. Collaborate with healthcare teams in nursing homes or geriatric clinics."
212,1 to 10 Years,B.Tech,$60K-$109K,Albania,Contract,51415,Female,Family Nurse Practitioner,Primary Care Provider,"Primary Care Providers offer general medical care to patients. They diagnose and treat common health issues, perform check-ups, and refer patients to specialists as needed.",Medical diagnosis Patient care Medical record-keeping Communication skills Empathy and compassion,"Provide primary healthcare to patients, including diagnosis, treatment, and preventive care. Conduct physical exams and health assessments. Order and interpret diagnostic tests."
213,2 to 8 Years,MBA,$57K-$107K,Colombia,Full-Time,45383,Both,Family Nurse Practitioner,Pediatric Nurse Practitioner,"Pediatric Nurse Practitioners specialize in pediatric care. They provide healthcare to children, including diagnosis, treatment, and preventive care.",Pediatric healthcare Pediatric assessment Pediatric treatment Patient education Pediatric pharmacology,"Specialize in pediatric care, addressing the unique healthcare needs of children. Administer vaccinations and provide well-child checkups. Educate parents on child health and development."
214,5 to 8 Years,MCA,$65K-$107K,Comoros,Temporary,112410,Male,Family Nurse Practitioner,Primary Care Provider,"Primary Care Providers offer general medical care to patients. They diagnose and treat common health issues, perform check-ups, and refer patients to specialists as needed.",Medical diagnosis Patient care Medical record-keeping Communication skills Empathy and compassion,"Provide primary healthcare to patients, including diagnosis, treatment, and preventive care. Conduct physical exams and health assessments. Order and interpret diagnostic tests."
215,5 to 9 Years,MBA,$58K-$97K,Armenia,Intern,45518,Male,Finance Manager,Accounting Manager,"Accounting Managers supervise accounting teams. They ensure accurate financial reporting, manage budgets, and oversee financial transactions and compliance with accounting standards.",Accounting principles Financial reporting Team management Budgeting Financial analysis,"Manage accounting functions, including financial reporting and compliance. Ensure accurate and timely financial statements. Oversee audits and tax filings."
216,3 to 13 Years,MCA,$59K-$101K,San Marino,Temporary,92163,Male,Finance Manager,Accounting Manager,"Accounting Managers supervise accounting teams. They ensure accurate financial reporting, manage budgets, and oversee financial transactions and compliance with accounting standards.",Accounting principles Financial reporting Team management Budgeting Financial analysis,"Manage accounting functions, including financial reporting and compliance. Ensure accurate and timely financial statements. Oversee audits and tax filings."
217,4 to 8 Years,BA,$61K-$86K,St. Kitts and Nevis,Contract,120320,Male,Finance Manager,Financial Planning Manager,"Financial Planning Managers oversee financial planning services. They lead a team of financial planners, develop financial strategies, and ensure clients financial goals are met.",Financial planning Investment strategies Team leadership Wealth management Client advisory skills,"Oversee financial planning and analysis, including budgeting and forecasting. Develop financial strategies to achieve organizational goals. Provide financial guidance to departments."
218,4 to 13 Years,MBA,$57K-$80K,Ethiopia,Full-Time,85025,Both,Finance Manager,Accounting Manager,"Accounting Managers supervise accounting teams. They ensure accurate financial reporting, manage budgets, and oversee financial transactions and compliance with accounting standards.",Accounting principles Financial reporting Team management Budgeting Financial analysis,"Manage accounting functions, including financial reporting and compliance. Ensure accurate and timely financial statements. Oversee audits and tax filings."
219,0 to 14 Years,BA,$64K-$84K,"Korea, Rep.",Contract,13941,Both,Finance Manager,Treasury Manager,"Treasury Managers manage a companys treasury operations. They oversee cash management, investments, and financial risk management to maintain liquidity and financial stability.",Treasury management Cash flow analysis Risk management Financial forecasting Banking relations,"Manage treasury operations, including cash management and risk assessment. Develop investment strategies and optimize working capital. Monitor financial markets and interest rates."
220,4 to 11 Years,MBA,$59K-$123K,Iceland,Temporary,119407,Both,Financial Advisor,Investment Advisor,"Investment Advisors offer financial advice to clients, helping them make investment decisions, manage portfolios, and achieve their financial goals.",Investment strategies Portfolio management Financial planning Risk assessment Regulatory compliance,Provide investment advice and portfolio management services. Assess clients financial goals and risk tolerance. Monitor market trends and recommend investment strategies.
221,4 to 13 Years,B.Com,$61K-$84K,Uganda,Intern,66438,Both,Financial Advisor,Retirement Planner,"Retirement Planners assist clients in planning for retirement, including savings strategies, pension options, and retirement income planning.",Retirement planning Social security Investment products Tax planning Estate planning,"Specialize in retirement planning, helping clients prepare for financial security in retirement. Create retirement income plans and strategies. Address tax and estate planning considerations."
222,3 to 9 Years,B.Tech,$59K-$95K,UK,Contract,120708,Female,Financial Advisor,Retirement Planner,"Retirement Planners assist clients in planning for retirement, including savings strategies, pension options, and retirement income planning.",Retirement planning Social security Investment products Tax planning Estate planning,"Specialize in retirement planning, helping clients prepare for financial security in retirement. Create retirement income plans and strategies. Address tax and estate planning considerations."
223,4 to 11 Years,M.Tech,$63K-$118K,Bolivia,Part-Time,19533,Female,Financial Advisor,Retirement Planner,"Retirement Planners assist clients in planning for retirement, including savings strategies, pension options, and retirement income planning.",Retirement planning Social security Investment products Tax planning Estate planning,"Specialize in retirement planning, helping clients prepare for financial security in retirement. Create retirement income plans and strategies. Address tax and estate planning considerations."
224,3 to 12 Years,PhD,$55K-$113K,Saudi Arabia,Part-Time,48328,Both,Financial Advisor,Wealth Management Advisor,Wealth Management Advisors provide comprehensive financial planning and investment management services to high-net-worth individuals and families.,Wealth management strategies Asset allocation Estate planning Tax management Client relationship management,"Manage high-net-worth clients financial portfolios and assets. Offer comprehensive wealth management services, including estate planning and asset allocation. Provide personalized financial guidance."
225,0 to 12 Years,MBA,$61K-$117K,Equatorial Guinea,Intern,116667,Male,Financial Analyst,Investment Analyst,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.",Financial analysis Investment evaluation Portfolio management Data analysis,"Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Monitor financial markets and economic trends. Prepare investment reports and presentations."
226,3 to 15 Years,PhD,$55K-$87K,Azerbaijan,Intern,87984,Both,Financial Analyst,Budget Analyst,"Budget Analysts manage and analyze financial data to develop, monitor, and report on budgets. They work with departments to ensure budget compliance, identify cost-saving opportunities, and provide financial insights to support strategic planning and decision-making.",Budget planning Financial forecasting Excel proficiency Data analysis,"Develop and manage budgets, track financial performance, and prepare financial reports. Collaborate with department heads to create and monitor budget plans. Identify cost-saving opportunities."
227,3 to 9 Years,M.Com,$59K-$80K,New Caledonia,Contract,29721,Male,Financial Analyst,Budget Analyst,"Budget Analysts manage and analyze financial data to develop, monitor, and report on budgets. They work with departments to ensure budget compliance, identify cost-saving opportunities, and provide financial insights to support strategic planning and decision-making.",Budget planning Financial forecasting Excel proficiency Data analysis,"Develop and manage budgets, track financial performance, and prepare financial reports. Collaborate with department heads to create and monitor budget plans. Identify cost-saving opportunities."
228,2 to 12 Years,BCA,$61K-$107K,Nigeria,Contract,96533,Male,Financial Analyst,Investment Analyst,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.",Financial analysis Investment evaluation Portfolio management Data analysis,"Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Monitor financial markets and economic trends. Prepare investment reports and presentations."
229,0 to 13 Years,BCA,$58K-$99K,"Macedonia, FYR",Contract,73513,Female,Financial Analyst,Investment Analyst,"Investment Analysts analyze financial data and market trends to make informed investment recommendations. They research and assess investment opportunities, create financial models, and provide insights to guide investment decisions and portfolio management.",Financial analysis Investment evaluation Portfolio management Data analysis,"Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Monitor financial markets and economic trends. Prepare investment reports and presentations."
